"Name","Description","Fulladdress","Street","Municipality","Categories","About","Plus Code","Time Zone","Price","Note","Amenities","Hotel Class","Phone","Phones","Claimed","Owner","Owner Id","Owner Link","Email","Social Medias","Review Count","Average Rating","Review URL","Google Maps URL","Google Knowledge URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Fid","Place Id","Kgmid"
"North Melbourne Station/Dryburgh St",,"West Melbourne VIC 3003","West Melbourne VIC 3003","","Bus stop","","4RJ65WVV+63","Australia/Melbourne",,,,,,"","YES","North Melbourne Station/Dryburgh St (owner)",,"",,"",5,4.8,"https://search.google.com/local/reviews?placeid=ChIJDQ937UBd1moRM-byzsc2JQk&q=Bus/train+stations&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=658993152278062643","https://www.google.com/search?kgmid=/g/11hbprnwf7",-37.8069426,144.9426398,,,"","https://lh5.googleusercontent.com/p/AF1QipMKA7EV7HET5_ojuuV25aZs1vL5p3iaOkTvD1o_=w80-h106-k-no","658993152278062643","0x6ad65d40ed770f0d:0x92536c7cef2e633","ChIJDQ937UBd1moRM-byzsc2JQk","/g/11hbprnwf7"
"North Melbourne Station/Dryburgh St",,"West Melbourne VIC 3003","West Melbourne VIC 3003","","Bus Interchange","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible toilet], Amenities: [Toilets], Getting here: [24-hour public transport available]","4RJ65WVV+83","Australia/Melbourne",,,,,,"","YES","North Melbourne Station/Dryburgh St (owner)",,"",,"",29,4.4,"https://search.google.com/local/reviews?placeid=ChIJDVhN7UBd1moRoHF_Kt3yN7Y&q=Bus/train+stations&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=13130230270336659872","https://www.google.com/search?kgmid=/g/11cm6dsbc9",-37.80672,144.94269,,,"","https://lh5.googleusercontent.com/p/AF1QipPojTDxk2g3t_lv7AVFfBtl4K7VL3Z7yCvV1lMM=w194-h92-k-no","13130230270336659872","0x6ad65d40ed4d580d:0xb637f2dd2a7f71a0","ChIJDVhN7UBd1moRoHF_Kt3yN7Y","/g/11cm6dsbc9"
"Jewell Railway Station/Brunswick Rd (Brunswick West)",,"Brunswick VIC 3056","Brunswick VIC 3056","","Bus Interchange","Accessibility: [Wheelchair-accessible entrance]","4RJ66XF4+8R","Australia/Melbourne",,,,,,"","YES","Jewell Railway Station/Brunswick Rd (Brunswick West) (owner)",,"",,"",1,1,"https://search.google.com/local/reviews?placeid=ChIJSWAGwMtc1moR3FhlnMHvKM8&q=Bus/train+stations&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=14927444579751123164","https://www.google.com/search?kgmid=/g/11fyzbqb4r",-37.7766251,144.9570369,,,"","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bNyT2d3MsZ9MBRansNsgdA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=9.0682535&pitch=0&thumbfov=100","14927444579751123164","0x6ad65ccbc0066049:0xcf28efc19c6558dc","ChIJSWAGwMtc1moR3FhlnMHvKM8","/g/11fyzbqb4r"
"Hawthorn Railway Station/Burwood Rd",,"Hawthorn VIC 3122","Hawthorn VIC 3122","","Bus Interchange","Accessibility: [Wheelchair-accessible entrance]","4RJ752HF+FG","Australia/Melbourne",,,,,,"","YES","Hawthorn Railway Station/Burwood Rd (owner)",,"",,"",1,5,"https://search.google.com/local/reviews?placeid=ChIJM5TWHElC1moR6Sz9CFtjB7Q&q=Bus/train+stations&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=12972446494307986665","https://www.google.com/search?kgmid=/g/11dxkc86fv",-37.821345799999996,145.02382029999998,,,"","https://lh5.googleusercontent.com/p/AF1QipMF5BPn3zOKqI-LSvQVPA4hONeg8v-pT8LCbqoi=w122-h92-k-no","12972446494307986665","0x6ad642491cd69433:0xb407635b08fd2ce9","ChIJM5TWHElC1moR6Sz9CFtjB7Q","/g/11dxkc86fv"
"Fairfield Railway Station/Wingrove St",,"Fairfield VIC 3078","Fairfield VIC 3078","","Bus Interchange","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Getting here: [24-hour public transport available]","4RJ762C9+F5","Australia/Melbourne",,,,,,"","YES","Fairfield Railway Station/Wingrove St (owner)",,"",,"",1,4,"https://search.google.com/local/reviews?placeid=ChIJyeg2wYhD1moRAmh4-eZFu3Y&q=Bus/train+stations&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=8555508775450601474","https://www.google.com/search?kgmid=/g/11cm6drn_1",-37.7788634,145.01789,,,"","https://lh5.googleusercontent.com/p/AF1QipP-1hHcYM8aHPU5DqT-9NWGusiaMBE8m-wSxjN-=w80-h142-k-no","8555508775450601474","0x6ad64388c136e8c9:0x76bb45e6f9786802","ChIJyeg2wYhD1moRAmh4-eZFu3Y","/g/11cm6drn_1"
"Fairfield Railway Station/Station St",,"Fairfield VIC 3078","Fairfield VIC 3078","","Bus Interchange","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Getting here: [24-hour public transport available]","4RJ762C9+25","Australia/Melbourne",,,,,,"","YES","Fairfield Railway Station/Station St (owner)",,"",,"",1,5,"https://search.google.com/local/reviews?placeid=ChIJwdRGNI9D1moRiI5oEG10HYg&q=Bus/train+stations&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=9808123575258353288","https://www.google.com/search?kgmid=/g/11cm6dqx0t",-37.7799717,145.0178831,,,"","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9mY51vRgWZijEKx0pCnktA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=251.90228&pitch=0&thumbfov=100","9808123575258353288","0x6ad6438f3446d4c1:0x881d746d10688e88","ChIJwdRGNI9D1moRiI5oEG10HYg","/g/11cm6dqx0t"
"Yarraville Station/Birmingham St",,"Yarraville VIC 3013","Yarraville VIC 3013","","Bus Interchange","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible toilet], Amenities: [Toilets], Getting here: [24-hour public transport available]","4RJ65VMQ+FP","Australia/Melbourne",,,,,,"","YES","Yarraville Station/Birmingham St (owner)",,"",,"",5,4.4,"https://search.google.com/local/reviews?placeid=ChIJPZSEpkRn1moRekH5IC7yyaQ&q=Bus/train+stations&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=11874288172474646906","https://www.google.com/search?kgmid=/g/11cm6dr9v9",-37.816271799999996,144.88930829999998,,,"","https://lh5.googleusercontent.com/p/AF1QipN0-eGJpIf8ctakEL1sEabxtTPqd4nxVS4pCW4H=w163-h92-k-no","11874288172474646906","0x6ad66744a684943d:0xa4c9f22e20f9417a","ChIJPZSEpkRn1moRekH5IC7yyaQ","/g/11cm6dr9v9"
"West Richmond Railway Station/Hoddle St",,"Richmond VIC 3121","Richmond VIC 3121","","Bus Interchange","Accessibility: [Wheelchair-accessible entrance], Getting here: [24-hour public transport available]","4RJ65XMR+W6","Australia/Melbourne",,,,,,"","YES","West Richmond Railway Station/Hoddle St (owner)",,"",,"",1,4,"https://search.google.com/local/reviews?placeid=ChIJoXI84u5C1moRk3Ediahz5Vw&q=Bus/train+stations&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=6693883588848218515","https://www.google.com/search?kgmid=/g/11cm6drqn1",-37.815185899999996,144.99051889999998,,,"","https://lh5.googleusercontent.com/p/AF1QipPt8smx36JIlPdtoRUNoJWsmXSqAIzIU7P01ep3=w80-h142-k-no","6693883588848218515","0x6ad642eee23c72a1:0x5ce573a8891d7193","ChIJoXI84u5C1moRk3Ediahz5Vw","/g/11cm6drqn1"
"Melbourne Central/Lonsdale St",,"Melbourne VIC 3000","Melbourne VIC 3000","","Bus stop","Getting here: [24-hour public transport available]","4RJ65XQ7+8M","Australia/Melbourne",,,,,,"","YES","Melbourne Central/Lonsdale St (owner)",,"",,"",26,4.7,"https://search.google.com/local/reviews?placeid=ChIJ2XJJXspC1moRbg3M42HPrBo&q=Bus/train+stations&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=1922139160320937326","https://www.google.com/search?kgmid=/g/11cm6dsg2d",-37.8116518,144.9642049,,,"","https://lh5.googleusercontent.com/p/AF1QipMX6gfwswQ4BPGrNP6BFlwWIyX5zUzd0WwUBgnF=w184-h92-k-no","1922139160320937326","0x6ad642ca5e4972d9:0x1aaccf61e3cc0d6e","ChIJ2XJJXspC1moRbg3M42HPrBo","/g/11cm6dsg2d"
"Dennis Railway Station/Victoria Rd",,"Northcote VIC 3070","Northcote VIC 3070","","Bus Interchange","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Getting here: [24-hour public transport available]","4RJ762C6+33","Australia/Melbourne",,,,,,"","YES","Dennis Railway Station/Victoria Rd (owner)",,"",,"",1,4,"https://search.google.com/local/reviews?placeid=ChIJE-L0eoND1moRJ-Wa5ahg30E&q=Bus/train+stations&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=4746618810794698023","https://www.google.com/search?kgmid=/g/11cnpzss15",-37.7797609,145.0101905,,,"","https://lh5.googleusercontent.com/p/AF1QipNbYBdnUbENcMlEZaUfUR7-xSWH0TUK6t5W43uU=w80-h164-k-no","4746618810794698023","0x6ad643837af4e213:0x41df60a8e59ae527","ChIJE-L0eoND1moRJ-Wa5ahg30E","/g/11cnpzss15"
